0	0
5	15
15	25
5	15
5	15
5	15
10	20
10	20
10	20
5	15
5	15
5	15
10	20
15	25
5	15
20	30
20	30
10	20
10	20
5	15
5	15
10	20
10	20
5	15
5	15
20	30
5	15
5	15
10	20
5	15
5	15
10	20
15	15
20	30
10	20
5	15
5	15
10	20
15	25
10	20
5	15
5	15
10	20
5	15
5	15
5	15
15	25
5	15
5	15
5	15
5	15
5	15
5	15
10	20
20	30
5	15
15	25
20	30
15	25
5	15
10	20
5	15
10	20
25	35
5	15
5	15
5	15
5	15
5	15
5	15
15	25
10	20
5	15
5	15
25	35
10	20
5	15
5	5
10	5
5	3
5	4
15	7
10	5
5	3
10	5
15	8
5	4
10	5
15	7
5	4
5	4
5	3
10	5
20	10
5	2
15	10
5	5
15	7
10	5
5	5
10	5
