0	6	8	12	17	15	15	16	10	10	10	5	6	2
6	0	4	12	17	16	17	20	14	14	12	8	11	8
8	4	0	8	13	12	14	18	14	12	9	6	11	10
12	12	8	0	6	4	7	12	10	8	4	7	10	12
17	17	13	6	0	4	9	15	15	12	9	12	15	18
15	16	12	4	4	0	5	11	11	8	6	10	12	15
15	17	14	7	9	5	0	6	8	5	5	10	10	15
16	20	18	12	15	11	6	0	6	6	9	12	10	15
10	14	14	10	15	11	8	6	0	3	6	7	4	9
10	14	12	8	12	8	5	6	3	0	4	7	5	10
10	12	9	4	9	6	5	9	6	4	0	5	6	10
5	8	6	7	12	10	10	12	7	7	5	0	5	6
6	11	11	10	15	12	10	10	4	5	6	5	0	5
2	8	10	12	18	15	15	15	9	10	10	6	5	0
