0	7	14	23	3	24	17	3	13	10	4	13	1	7	9	16	10	6	9	9	5	13	15
7	0	7	20	9	15	6	5	10	6	12	6	6	2	2	5	5	2	3	3	4	16	14
14	7	0	9	11	10	9	14	3	4	17	14	10	9	7	9	5	6	4	12	6	6	4
23	20	9	0	13	6	12	19	9	12	25	19	18	16	14	14	12	14	12	17	15	11	7
3	9	11	13	0	20	15	6	8	7	6	12	4	8	10	15	6	8	9	10	6	7	10
24	15	10	6	20	0	8	18	12	12	22	15	18	15	12	10	13	13	12	15	15	15	12
17	6	9	12	15	8	0	12	11	10	17	7	12	9	5	1	10	8	7	7	10	15	13
3	5	14	19	6	18	12	0	10	8	5	6	2	3	6	10	6	4	6	5	3	12	14
13	10	3	9	8	12	11	10	0	2	12	12	9	9	8	11	3	6	5	9	6	3	3
10	6	4	12	7	12	10	8	2	0	11	10	6	7	6	10	1	4	3	8	4	4	5
4	12	17	25	6	22	17	5	12	11	0	8	4	8	11	15	9	9	10	9	7	13	16
13	6	14	19	12	15	7	6	12	10	8	0	8	4	4	6	9	5	6	2	6	15	15
1	6	10	18	4	18	12	2	9	6	4	8	0	4	7	12	5	5	6	6	3	10	12
7	2	9	16	8	15	9	3	9	7	8	4	4	0	3	8	5	2	4	2	3	11	12
9	2	7	14	10	12	5	6	8	6	11	4	7	3	0	5	5	3	3	3	5	11	11
16	5	9	14	15	10	1	10	11	10	15	6	12	8	5	0	10	7	7	6	9	15	13
10	5	5	12	6	13	10	6	3	1	9	9	5	5	5	10	0	3	2	6	3	6	7
6	2	6	14	8	13	8	4	6	4	9	5	5	2	3	7	3	0	2	3	2	9	10
9	3	4	12	9	12	7	6	5	3	10	6	6	4	3	7	2	2	0	5	3	8	8
9	3	12	17	10	15	7	5	9	8	9	2	6	2	3	6	6	3	5	0	5	13	13
5	4	6	15	6	15	10	3	6	4	7	6	3	3	5	9	3	2	3	5	0	8	10
13	16	6	11	7	15	15	12	3	4	13	15	10	11	11	15	6	9	8	13	8	0	4
15	14	4	7	10	12	13	14	3	5	16	15	12	12	11	13	7	10	8	13	10	4	0
