0	27	20	29	25	15	25	26	11	23	16	19	38	30	39	36	40	33	35	39	10	11	12	30	15	24	34	17	36	20	20	33	31	33	32	38	35	39	41	40	32	18	19	16	31	22	25	18	10	31	22	25	21	45	40	35	45	35	45	40	45	22	18	14	21	25	16	12	20	15	58	57	23	55	19	15	52	32	39	51	51	47	35	32	31	46	26	24	26	21	20	22	44	8	40	37	24	40	30	33	38
27	0	8	11	12	14	48	7	23	24	19	18	28	30	31	32	33	34	37	37	33	29	33	39	36	31	45	37	52	40	37	58	54	56	53	61	55	61	62	60	59	46	47	44	58	50	53	45	38	55	50	52	48	70	65	60	71	61	71	66	72	45	40	35	45	50	40	35	46	40	62	58	45	60	40	12	55	36	43	57	59	51	30	28	24	44	24	31	19	11	21	17	18	19	14	11	36	12	6	5	10
20	8	0	17	15	5	40	13	14	17	10	10	25	23	27	26	29	27	30	31	25	20	24	31	28	23	37	28	43	32	29	49	46	47	44	53	47	52	54	51	52	39	39	37	51	42	46	38	31	50	42	44	40	65	60	55	65	55	65	60	65	40	35	30	40	45	35	30	40	35	64	61	40	61	35	5	57	36	44	58	60	53	33	30	27	47	25	30	22	12	21	18	26	12	23	19	34	21	13	14	18
29	11	17	0	3	20	53	4	29	34	27	27	40	40	43	43	44	44	47	48	37	34	38	48	41	40	54	42	59	46	44	62	59	61	59	66	61	66	68	66	57	45	47	44	57	50	52	46	38	50	51	53	50	66	62	57	67	59	68	63	69	40	36	31	41	47	37	32	43	38	51	47	40	49	35	17	44	26	33	46	49	41	19	17	13	33	14	23	9	7	14	9	16	22	13	11	29	16	7	13	17
25	12	15	3	0	18	50	4	26	32	25	25	39	39	42	42	44	42	45	47	34	31	34	46	38	38	52	39	57	43	41	58	56	58	56	63	58	63	65	63	53	42	43	41	53	46	48	43	35	47	48	50	46	63	58	54	64	55	64	60	65	37	32	27	37	44	33	29	40	34	50	46	36	48	31	15	43	24	31	45	48	39	18	16	12	32	12	20	7	4	11	6	20	19	16	14	26	19	9	14	19
15	14	5	20	18	0	34	16	9	14	7	8	26	22	28	26	29	26	28	30	19	15	19	28	22	20	34	23	39	26	24	43	40	42	39	47	42	47	48	46	47	33	34	31	46	37	40	32	25	45	36	38	34	60	55	50	60	50	60	55	60	35	31	26	35	40	30	25	35	30	63	60	36	61	31	3	56	36	43	57	58	52	34	31	28	47	26	29	23	14	20	18	32	7	28	25	32	26	18	19	23
25	48	40	53	50	34	0	50	25	30	30	33	43	33	43	38	43	33	33	38	16	19	15	24	12	24	21	12	17	8	13	9	6	8	8	13	11	14	16	16	31	21	19	18	27	18	24	15	20	38	14	15	11	46	41	37	44	34	43	38	41	36	34	34	34	32	31	31	28	29	79	79	38	76	37	37	74	56	62	72	71	69	60	57	56	70	51	48	52	45	45	47	66	30	63	59	46	61	53	54	58
26	7	13	4	4	16	50	0	26	30	23	23	36	36	39	39	40	40	43	44	34	31	34	44	38	36	50	39	56	42	40	59	56	58	55	63	58	63	65	63	56	44	45	43	56	48	51	44	37	50	49	51	48	66	62	57	67	58	68	63	68	40	35	31	41	47	36	31	43	37	54	50	40	52	35	13	47	28	36	49	52	44	22	20	16	36	17	24	12	6	15	10	17	20	13	10	30	15	5	10	15
11	23	14	29	26	9	25	26	0	11	6	9	26	19	27	24	28	21	24	27	10	5	10	20	13	13	26	13	30	17	14	34	31	32	30	38	32	37	39	37	42	28	28	25	40	30	35	25	20	42	29	31	26	55	50	45	55	45	55	50	55	34	29	25	33	36	28	23	31	27	67	65	35	65	31	12	61	40	48	60	61	56	41	38	36	53	32	33	31	22	26	26	41	8	38	34	34	36	28	29	32
23	24	17	34	32	14	30	30	11	0	8	7	15	7	16	12	17	11	13	16	20	14	18	14	20	7	21	18	28	21	17	39	34	36	32	41	33	39	41	37	52	38	38	35	50	40	45	35	31	53	38	40	35	66	61	56	66	55	65	60	65	45	41	37	44	47	39	35	42	38	78	75	47	75	43	17	71	50	58	71	72	66	49	46	43	62	40	43	38	28	35	33	41	18	38	35	45	35	30	28	30
